Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","BATT","BatteryHolder_GL516_1xAAA",167.170000,-25.290000,0.000000,top
"BT2","BATT","BatteryHolder_GL516_1xAAA",9.630000,-25.560000,0.000000,top
"D1","D","Diode_SMD",19.450000,-25.330000,0.000000,top
"D2","D","Diode_SMD",25.050000,-43.280000,0.000000,top
"D3","D","Diode_SMD",32.470000,-61.420000,0.000000,top
"D4","D","Diode_SMD",55.140000,-61.470000,0.000000,top
"D5","D","Diode_SMD",38.720000,-25.340000,0.000000,top
"D6","D","Diode_SMD",42.950000,-43.360000,0.000000,top
"D7","D","Diode_SMD",48.780000,-61.390000,0.000000,top
"D8","D","Diode_SMD",75.280000,-61.280000,0.000000,top
"D9","D","Diode_SMD",59.010000,-25.260000,0.000000,top
"D10","D","Diode_SMD",60.990000,-43.310000,0.000000,top
"D11","D","Diode_SMD",67.545000,-61.350000,0.000000,top
"D12","D","Diode_SMD",92.590000,-61.300000,0.000000,top
"D13","D","Diode_SMD",74.710000,-25.300000,0.000000,top
"D14","D","Diode_SMD",77.910000,-43.330000,0.000000,top
"D15","D","Diode_SMD",86.430000,-61.330000,0.000000,top
"D16","D","Diode_SMD",143.235000,-61.280000,0.000000,top
"D17","D","Diode_SMD",80.590000,-25.290000,0.000000,top
"D18","D","Diode_SMD",96.940000,-43.310000,0.000000,top
"D19","D","Diode_SMD",105.795000,-61.140000,0.000000,top
"D20","D","Diode_SMD",161.150000,-61.240000,0.000000,top
"D21","D","Diode_SMD",130.650000,-25.280000,0.000000,top
"D22","D","Diode_SMD",121.855000,-43.350000,0.000000,top
"D23","D","Diode_SMD",131.240000,-61.310000,0.000000,top
"D24","D","Diode_SMD",179.360000,-61.330000,0.000000,top
"D25","D","Diode_SMD",148.710000,-25.310000,0.000000,top
"D26","D","Diode_SMD",158.860000,-43.320000,0.000000,top
"D27","D","Diode_SMD",139.920000,-43.340000,0.000000,top
"D28","D","Diode_SMD",149.990000,-61.310000,0.000000,top
"D29","D","Diode_SMD",154.770000,-25.290000,0.000000,top
"D30","D","Diode_SMD",176.920000,-43.380000,0.000000,top
